Running Task 107 with:
nB=300, nl=600, sy=300, cut_off=9
Using parameter file: /scratch/kloya/Koopman-offroad/scripts/koopman_training/results/../params.txt

                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023b (23.2.0.2365128) 64-bit (glnxa64)
                              August 23, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
----------------------------------------------
--- MATLAB Script Running (SLURM Job Info) ---
----------------------------------------------
SLURM Job ID:       7118454
SLURM Array Task ID:107
Parameter nB:       300
Parameter nl:       600
Parameter sy:       300
Parameter cut_off:  9
Parameter tag:      nB300_nl600_sy300_c9
----------------------------------------------

et_initialize =

    3.3245

RSSID:: Iteration   26-  30 | sytem order: 200 | Gr Dist: 1.53 | check Dist: 1.53  
RSSID:: Iteration   51-  55 | sytem order: 206 | Gr Dist: 0.29 | check Dist: 0.23  
RSSID:: Iteration   76-  80 | sytem order: 210 | Gr Dist: 1.30 | check Dist: 1.31  
RSSID:: Iteration  101- 105 | sytem order: 220 | Gr Dist: 1.15 | check Dist: 1.13  
RSSID:: Iteration  126- 130 | sytem order: 220 | Gr Dist: 0.82 | check Dist: 0.81  
RSSID:: Iteration  151- 155 | sytem order: 219 | Gr Dist: 0.57 | check Dist: 0.52  
RSSID:: Iteration  176- 180 | sytem order: 218 | Gr Dist: 1.06 | check Dist: 1.06  
RSSID:: Iteration  201- 205 | sytem order: 218 | Gr Dist: 1.50 | check Dist: 1.50  
RSSID:: Iteration  226- 230 | sytem order: 220 | Gr Dist: 0.75 | check Dist: 0.77  
RSSID:: Iteration  251- 255 | sytem order: 221 | Gr Dist: 0.65 | check Dist: 0.67  
RSSID:: Iteration  276- 280 | sytem order: 220 | Gr Dist: 1.21 | check Dist: 1.21  
RSSID:: Iteration  301- 305 | sytem order: 220 | Gr Dist: 0.56 | check Dist: 0.57  
RSSID:: Iteration  326- 330 | sytem order: 220 | Gr Dist: 0.67 | check Dist: 0.67  
RSSID:: Iteration  351- 355 | sytem order: 220 | Gr Dist: 0.90 | check Dist: 0.91  
RSSID:: Iteration  376- 380 | sytem order: 222 | Gr Dist: 1.45 | check Dist: 1.45  
RSSID:: Iteration  401- 405 | sytem order: 222 | Gr Dist: 0.74 | check Dist: 0.75  
RSSID:: Iteration  426- 430 | sytem order: 221 | Gr Dist: 0.77 | check Dist: 0.78  
RSSID:: Iteration  451- 455 | sytem order: 221 | Gr Dist: 1.53 | check Dist: 1.53  
RSSID:: Iteration  476- 480 | sytem order: 220 | Gr Dist: 0.24 | check Dist: 0.25  
RSSID:: Iteration  501- 505 | sytem order: 221 | Gr Dist: 0.16 | check Dist: 0.17  
